distance,speed,weather,isOpen,favorite,clickCount,lastClickedDate,theme,fclass,cluster_score,colocation_score,interestScore
0.7,27.63,3,1,1,5,68,5,74,0.373,0.162,0.0
5.0,31.56,1,1,0,1,327,5,19,0.209,0.356,0.0
0.39,14.69,3,1,0,5,284,2,55,0.323,0.19,0.395
2.48,12.05,2,1,1,0,57,3,31,0.357,0.267,0.0
1.21,5.69,1,1,1,5,77,1,36,0.27,0.113,0.0
1.69,10.4,3,1,0,1,206,0,39,0.345,0.25,0.353
0.48,16.72,3,1,1,12,2,2,37,0.759,0.667,0.867
11.08,4.21,1,1,0,5,26,4,17,0.471,0.353,0.0
0.02,32.23,2,0,1,9,172,5,63,0.531,0.573,0.0
11.2,19.39,2,1,0,6,174,1,34,0.389,0.594,0.0
1.76,4.37,3,1,0,5,216,3,19,0.152,0.34,0.0
1.29,15.61,2,1,1,9,27,3,5,0.624,0.75,0.857
63.44,5.94,2,1,0,1,32,2,46,0.335,0.324,0.0
88.16,6.08,2,1,1,7,11,2,26,0.68,0.635,0.0
0.94,39.68,2,1,0,7,101,4,26,0.497,0.477,0.468
71.97,5.98,1,1,1,3,93,5,14,0.45,0.319,0.0
11.76,32.17,1,1,0,9,49,2,73,0.381,0.444,0.0
1.48,4.28,1,1,0,10,57,4,41,0.445,0.357,0.0
1.53,6.84,3,1,0,27,8,5,37,0.749,0.749,0.0
2.36,5.55,2,1,1,6,165,2,62,0.43,0.583,0.141
0.71,4.44,1,1,0,5,40,0,37,0.254,0.369,0.0
1.08,5.73,3,1,0,7,14,4,47,0.603,0.792,0.0
0.24,13.68,2,1,0,1,481,5,16,0.222,0.248,0.0
16.77,6.82,2,1,0,3,176,4,33,0.316,0.369,0.0
7.99,17.5,2,1,0,8,149,2,48,0.379,0.551,0.0
44.43,18.73,3,1,0,4,16,2,30,0.308,0.568,0.0
1.83,4.01,1,1,1,8,133,0,2,0.334,0.496,0.0
0.15,12.34,1,1,0,4,70,4,70,0.287,0.349,0.0
15.23,4.34,1,1,0,19,25,5,54,0.785,0.732,0.0
0.09,16.86,2,1,1,10,147,2,1,0.467,0.519,0.799
0.71,16.32,2,0,0,1,297,5,62,0.107,0.367,0.0
1.15,4.17,1,0,1,2,68,5,46,0.282,0.347,0.0
5.43,3.83,3,0,0,3,21,0,51,0.608,0.644,0.0
5.72,6.4,1,1,1,5,18,0,36,0.447,0.319,0.0
0.23,3.32,2,1,1,4,6,0,49,0.624,0.746,0.0
0.52,3.07,1,1,0,8,37,3,32,0.581,0.405,0.0
0.13,18.23,1,1,0,5,112,1,15,0.309,0.534,0.0
5.0,10.71,2,1,1,6,172,0,58,0.303,0.51,0.451
0.95,4.86,1,0,1,3,168,2,37,0.339,0.421,0.521
1.5,3.93,1,1,0,4,10,0,70,0.71,0.648,0.47
2.39,25.88,1,1,1,5,79,5,60,0.457,0.541,0.0
7.11,10.09,2,1,0,5,56,5,52,0.427,0.325,0.0
0.03,6.2,1,1,0,1,207,4,50,0.358,0.163,0.393
14.0,16.95,1,1,0,8,147,3,22,0.509,0.547,0.259
81.66,12.51,1,1,1,4,26,4,33,0.657,0.726,0.0
1.65,5.01,1,1,1,0,377,2,6,0.237,0.289,0.0
15.63,5.56,2,1,1,5,159,5,44,0.371,0.367,0.0
2.46,6.92,2,1,1,4,82,5,22,0.367,0.4,0.0
0.57,6.47,2,1,0,6,29,3,35,0.63,0.62,0.0
48.05,17.13,2,1,0,21,19,5,64,0.715,0.715,0.0
3.66,14.2,3,0,0,7,118,3,16,0.302,0.547,0.0
91.01,45.65,3,1,1,2,432,2,22,0.192,0.157,0.0
5.0,3.24,3,1,0,3,408,3,2,0.158,0.372,0.0
1.93,6.02,2,1,1,2,174,2,11,0.461,0.325,0.0
0.02,15.67,1,0,1,9,27,0,48,0.416,0.519,0.569
18.51,5.92,2,1,0,6,117,0,16,0.394,0.572,0.0
2.4,6.71,3,1,0,3,161,1,70,0.545,0.446,0.0
0.12,4.69,1,0,0,0,378,3,13,0.125,0.225,0.0
17.0,6.99,1,1,1,4,104,4,43,0.542,0.374,0.0
0.86,15.95,3,0,1,5,128,0,53,0.421,0.347,0.0
13.53,26.22,2,1,1,4,7,0,9,0.621,0.775,0.048
10.81,49.63,3,1,1,29,18,5,27,0.76,0.759,0.0
0.31,5.75,1,0,1,7,126,5,8,0.595,0.366,0.0
92.67,6.07,2,1,1,5,145,2,36,0.35,0.104,0.0
8.04,16.48,3,0,0,0,82,2,24,0.35,0.108,0.0
0.71,5.21,1,1,0,4,176,2,14,0.375,0.343,0.429
0.96,6.66,1,1,1,10,0,4,22,0.674,0.796,0.0
14.41,35.06,1,1,1,2,218,3,70,0.243,0.136,0.0
0.72,6.58,1,1,1,0,74,4,50,0.366,0.323,0.72
4.93,4.59,3,0,0,3,107,2,14,0.554,0.36,0.0
1.17,13.43,2,1,1,3,104,3,31,0.463,0.528,0.0
2.81,3.06,2,1,1,5,50,4,52,0.302,0.308,0.0
2.05,4.58,2,1,1,7,142,3,12,0.452,0.54,0.0
4.03,5.17,3,1,0,5,569,2,50,0.214,0.106,0.0
3.89,3.13,2,1,0,4,49,0,9,0.343,0.395,0.0
5.0,6.07,2,1,0,1,339,1,47,0.222,0.138,0.0
8.79,4.98,1,1,0,2,62,4,6,0.349,0.307,0.0
1.7,29.48,1,1,0,5,138,0,24,0.456,0.53,0.469
0.96,4.84,2,1,0,7,99,1,36,0.515,0.348,0.0
11.27,3.85,3,0,1,4,134,4,65,0.316,0.449,0.0
10.8,6.51,2,0,0,6,51,4,51,0.335,0.508,0.0
2.93,17.82,1,1,0,5,372,5,59,0.307,0.153,0.0
15.69,5.79,2,1,0,8,27,4,49,0.615,0.616,0.0
8.36,5.41,1,1,0,3,266,5,21,0.152,0.304,0.0
69.18,15.84,3,1,0,6,10,4,32,0.485,0.497,0.0
1.56,13.86,2,1,1,9,40,1,73,0.564,0.461,0.0
0.4,3.09,2,0,1,6,10,3,59,0.678,0.664,0.0
0.11,6.73,1,1,0,7,24,2,15,0.624,0.614,0.0
1.88,6.56,1,0,0,0,393,0,72,0.168,0.19,0.0
28.42,6.29,3,1,0,5,426,4,38,0.25,0.223,0.0
19.11,6.43,3,1,0,0,38,3,49,0.3,0.302,0.0
5.0,4.89,2,0,1,0,590,0,58,0.112,0.198,0.0
0.92,18.6,1,0,1,8,25,0,14,0.604,0.655,0.0
0.27,5.61,1,1,0,0,450,4,70,0.201,0.171,0.0
0.44,5.27,1,1,0,2,103,5,62,0.187,0.345,0.0
5.0,10.68,1,1,0,4,387,0,50,0.195,0.239,0.0
5.0,6.61,3,1,0,9,142,1,51,0.448,0.552,0.0
1.16,30.03,2,0,1,4,50,3,57,0.412,0.455,0.0
9.06,4.37,3,1,0,5,47,0,20,0.351,0.27,0.0
0.81,6.45,2,0,1,3,20,4,30,0.691,0.614,0.0
0.01,5.11,3,1,0,5,116,0,66,0.295,0.268,0.0
0.03,6.66,2,1,0,4,512,0,0,0.265,0.247,0.0
1.19,3.45,2,1,0,1,217,5,61,0.259,0.223,0.0
5.48,4.1,1,1,0,5,26,1,2,0.632,0.688,0.0
0.88,4.35,1,1,1,0,98,0,52,0.29,0.299,0.0
0.37,32.54,2,0,1,4,54,0,28,0.373,0.587,0.0
0.49,6.88,3,1,0,12,20,0,4,0.757,0.789,0.476
0.38,3.92,1,1,1,3,161,2,60,0.587,0.372,0.0
3.92,6.17,3,1,0,1,269,3,62,0.177,0.287,0.0
0.78,19.33,3,1,1,0,413,3,22,0.207,0.334,0.689
0.92,4.23,1,0,0,0,343,0,55,0.217,0.121,0.0
15.26,16.59,2,0,0,2,100,4,5,0.336,0.162,0.0
0.22,18.56,1,1,1,11,18,0,53,0.795,0.606,0.0
2.62,16.34,2,0,1,9,0,1,33,0.666,0.722,0.0
0.87,28.64,2,0,1,7,135,3,45,0.467,0.545,0.0
12.74,13.46,2,1,0,0,326,3,32,0.185,0.102,0.0
1.2,5.21,2,1,0,6,48,4,41,0.497,0.375,0.0
1.95,4.51,3,1,1,20,19,4,10,0.701,0.74,0.0
3.92,27.71,3,0,0,6,112,1,30,0.445,0.376,0.0
5.0,3.42,1,1,0,9,15,3,29,0.733,0.652,0.0
1.3,19.26,1,0,0,0,583,1,1,0.146,0.319,0.0
0.1,11.41,1,0,0,5,104,3,73,0.391,0.342,0.0
49.1,31.69,1,1,1,3,192,4,63,0.261,0.216,0.0
1.58,4.26,2,1,0,3,525,2,25,0.17,0.265,0.0
19.11,35.79,1,1,1,7,79,0,47,0.456,0.381,0.049
1.27,6.39,2,1,1,10,90,5,5,0.447,0.56,0.0
0.2,29.54,2,0,1,6,3,3,52,0.63,0.759,0.628
1.2,6.96,1,1,0,2,101,1,37,0.317,0.304,0.0
87.17,5.85,2,1,1,7,79,2,57,0.561,0.326,0.0
17.94,12.77,3,1,1,9,60,1,28,0.385,0.421,0.0
0.18,5.48,1,1,0,2,85,0,3,0.276,0.243,0.0
8.98,5.6,2,1,0,5,130,5,29,0.369,0.462,0.0
1.73,6.74,1,1,0,5,56,1,47,0.569,0.528,0.0
0.84,3.79,1,0,1,9,20,0,45,0.653,0.687,0.605
1.33,6.59,2,1,1,5,83,1,64,0.321,0.405,0.0
1.23,3.04,2,1,0,3,87,3,26,0.458,0.344,0.0
0.53,33.5,3,1,0,9,176,4,9,0.323,0.557,0.0
6.06,3.95,1,1,1,2,18,5,17,0.28,0.321,0.0
0.21,6.79,1,1,1,4,108,2,52,0.44,0.301,0.0
70.93,6.58,1,1,1,3,318,0,30,0.274,0.136,0.0
11.38,6.26,2,1,0,5,86,5,42,0.354,0.374,0.0
1.65,19.54,2,1,1,2,343,0,15,0.205,0.369,0.696
1.63,4.26,2,1,0,0,463,2,31,0.381,0.178,0.0
3.73,4.89,2,0,0,3,319,3,56,0.169,0.396,0.0
2.18,16.41,1,1,1,3,451,5,71,0.317,0.196,0.0
14.26,3.82,1,1,0,2,104,3,8,0.115,0.298,0.0
1.43,4.18,2,1,1,8,80,2,39,0.572,0.491,0.0
12.92,4.06,1,1,0,3,167,1,16,0.589,0.569,0.0
13.8,26.93,1,0,0,4,15,3,53,0.383,0.254,0.198
98.6,5.66,3,0,1,8,102,4,48,0.531,0.546,0.0
2.15,3.9,3,0,1,3,22,4,69,0.614,0.758,0.0
5.0,29.86,2,1,0,4,89,4,22,0.514,0.566,0.0
2.91,5.26,2,1,0,2,132,5,73,0.365,0.324,0.0
0.2,4.36,2,1,1,10,13,3,12,0.341,0.572,0.0
0.67,16.61,2,1,1,2,485,3,47,0.199,0.208,0.0
7.61,6.73,1,1,1,5,351,1,7,0.39,0.171,0.0
1.54,40.24,3,0,0,1,264,3,65,0.187,0.165,0.0
0.51,4.9,2,1,1,4,130,0,45,0.313,0.561,0.747
0.47,3.8,3,1,1,2,265,5,66,0.109,0.386,0.0
0.59,4.49,3,1,0,0,47,3,45,0.233,0.309,0.0
1.96,13.1,3,1,1,6,27,3,47,0.64,0.76,0.0
0.06,15.05,2,1,0,5,90,5,35,0.345,0.26,0.0
10.86,14.8,2,1,1,1,423,5,36,0.157,0.123,0.0
48.31,29.37,3,0,1,5,248,5,29,0.323,0.116,0.0
1.48,30.05,1,1,0,2,148,5,42,0.153,0.363,0.0
1.35,4.96,2,0,0,2,95,4,20,0.337,0.441,0.0
16.44,17.11,3,1,0,4,55,2,12,0.327,0.321,0.0
5.0,6.88,2,1,0,8,91,2,71,0.55,0.358,0.0
0.28,6.87,2,0,1,1,228,5,29,0.213,0.375,0.0
0.49,5.04,1,0,1,8,48,3,4,0.6,0.334,0.0
1.79,3.42,1,1,0,6,21,5,18,0.687,0.606,0.0
1.64,27.63,2,1,1,5,10,4,38,0.354,0.332,0.0
7.67,18.71,1,1,1,5,113,2,38,0.57,0.489,0.0
63.84,48.75,1,0,1,25,22,4,67,0.735,0.73,0.0
14.59,6.89,1,1,1,3,167,3,3,0.37,0.375,0.0
74.81,4.36,1,1,0,7,75,5,17,0.531,0.397,0.0
86.53,4.47,2,1,1,12,6,1,70,0.779,0.762,0.0
0.94,18.69,1,0,0,3,50,0,30,0.13,0.165,0.286
0.51,6.41,1,1,0,0,165,2,46,0.375,0.354,0.0
1.5,3.53,2,1,1,10,31,2,62,0.347,0.567,0.537
0.39,19.6,3,1,0,5,48,5,0,0.577,0.417,0.0
1.92,14.17,1,1,0,2,97,0,20,0.311,0.325,0.0
0.97,47.11,3,0,1,3,288,3,40,0.342,0.209,0.0
3.69,3.57,2,1,1,5,412,5,1,0.357,0.163,0.0
12.38,6.84,1,0,0,3,384,5,58,0.19,0.189,0.0
0.3,3.77,2,0,0,1,89,2,48,0.363,0.315,0.0
2.67,10.65,2,1,1,4,89,4,12,0.578,0.564,0.0
56.23,3.25,3,1,0,10,36,5,49,0.504,0.491,0.0
44.41,19.4,1,1,1,5,77,4,36,0.297,0.147,0.0
12.11,6.39,2,0,0,1,31,1,13,0.321,0.351,0.0
0.25,4.77,1,0,1,6,14,5,8,0.631,0.681,0.0
0.22,3.94,3,1,1,3,28,1,17,0.684,0.602,0.0
0.78,6.45,3,1,0,1,13,3,52,0.244,0.359,0.259
0.53,5.74,2,1,1,4,99,1,60,0.352,0.399,0.0
11.49,12.89,2,1,1,5,50,3,9,0.576,0.405,0.0
62.0,16.59,3,0,0,6,141,1,48,0.417,0.563,0.0
17.36,6.53,1,1,1,2,398,3,55,0.145,0.292,0.0
1.93,11.16,2,1,1,6,171,3,31,0.395,0.468,0.0
1.29,18.33,2,1,0,0,530,1,47,0.328,0.113,0.0
15.92,4.38,3,1,1,0,432,3,34,0.181,0.169,0.0
9.21,3.14,1,1,0,2,525,5,25,0.316,0.148,0.0
0.65,16.42,1,1,1,5,336,2,62,0.293,0.276,0.71
14.01,4.98,2,1,0,10,47,0,69,0.423,0.53,0.0
1.78,6.89,2,1,1,1,60,4,19,0.368,0.383,0.0
17.07,5.22,3,1,1,10,25,2,64,0.678,0.693,0.0
0.91,3.15,2,1,0,0,14,3,23,0.242,0.396,0.0
17.98,4.84,3,1,0,2,119,5,32,0.341,0.459,0.0
3.84,6.48,2,1,1,9,81,1,60,0.317,0.6,0.0
1.23,37.09,3,0,1,27,19,2,2,0.714,0.7,0.0
17.77,18.24,2,1,1,25,10,3,22,0.775,0.672,0.0
12.11,26.01,3,0,0,5,126,3,4,0.363,0.248,0.0
72.48,4.26,2,0,1,6,7,4,29,0.747,0.623,0.0
2.01,46.53,2,1,0,1,435,4,41,0.232,0.251,0.0
0.77,19.23,3,1,1,2,496,5,15,0.282,0.192,0.0
64.68,15.58,3,1,0,3,491,1,0,0.15,0.255,0.0
0.51,3.11,1,1,0,2,504,1,12,0.229,0.289,0.0
10.98,4.8,3,1,0,1,243,1,41,0.311,0.135,0.0
0.44,3.12,2,1,0,4,112,0,61,0.348,0.441,0.439
0.17,5.31,1,1,1,4,16,4,39,0.345,0.47,0.0
11.73,31.42,1,1,1,14,21,3,21,0.786,0.629,0.0
1.33,6.76,1,1,1,4,56,0,67,0.546,0.453,0.0
0.3,43.2,2,0,1,8,27,2,64,0.405,0.576,0.0
0.98,4.34,3,1,1,3,271,0,5,0.31,0.269,0.0
1.1,3.07,2,1,0,0,174,0,7,0.367,0.421,0.404
16.18,5.14,1,1,0,0,86,4,23,0.366,0.179,0.0
1.77,10.85,3,0,1,7,166,4,3,0.361,0.477,0.0
3.2,3.67,2,0,0,1,22,4,8,0.372,0.348,0.0
1.44,33.3,1,0,0,3,73,4,65,0.444,0.305,0.354
0.23,4.2,1,1,1,4,54,4,42,0.482,0.583,0.0
0.0,25.62,2,1,0,4,67,1,36,0.566,0.361,0.0
0.95,40.87,3,1,1,3,320,2,57,0.334,0.244,0.0
0.29,13.73,3,0,1,2,139,1,34,0.363,0.362,0.0
0.8,4.54,2,1,1,5,80,0,33,0.558,0.409,0.738
1.01,19.09,1,0,0,1,91,0,49,0.261,0.392,0.0
19.27,3.15,1,1,1,5,75,3,20,0.395,0.36,0.0
0.01,5.88,1,0,1,28,7,3,13,0.672,0.759,0.0
0.38,6.48,2,1,0,0,412,3,64,0.313,0.141,0.378
0.56,5.67,3,1,1,26,17,1,19,0.722,0.706,0.0
5.43,6.12,3,1,1,27,2,0,60,0.703,0.742,0.0
0.91,12.43,3,1,1,7,173,2,4,0.567,0.413,0.0
0.99,3.01,1,0,0,3,124,4,65,0.432,0.487,0.365
0.54,6.19,1,1,0,13,11,5,59,0.785,0.746,0.0
19.95,6.17,3,0,0,0,502,3,65,0.122,0.203,0.0
0.47,12.13,2,1,1,5,148,3,29,0.323,0.196,0.0
0.82,15.09,2,1,0,3,44,2,69,0.358,0.344,0.432
0.09,4.21,3,0,0,3,506,4,43,0.165,0.218,0.0
73.52,3.5,3,0,1,10,72,3,54,0.471,0.552,0.0
1.47,4.25,2,1,1,6,8,1,64,0.716,0.62,0.0
1.14,16.06,1,1,0,5,65,5,29,0.165,0.177,0.0
1.22,10.76,1,1,0,3,188,2,39,0.238,0.252,0.0
16.12,26.08,1,1,0,7,103,0,31,0.452,0.587,0.0
0.33,3.96,3,1,1,4,60,5,47,0.318,0.585,0.0
47.61,4.45,3,1,1,9,5,1,66,0.642,0.631,0.0
1.08,3.04,1,1,1,9,119,4,19,0.551,0.353,0.0
4.48,16.15,1,1,0,4,49,2,28,0.389,0.317,0.0
0.31,5.93,1,1,0,5,79,4,51,0.349,0.385,0.436
0.99,13.87,3,1,0,3,23,5,36,0.395,0.302,0.0
79.02,3.23,2,1,0,3,110,1,62,0.509,0.418,0.0
86.68,45.89,1,0,0,3,170,1,70,0.421,0.584,0.0
10.44,15.1,3,1,0,3,258,3,51,0.142,0.177,0.0
16.4,4.22,2,0,0,5,78,3,17,0.231,0.38,0.0
5.0,41.24,2,1,0,0,232,3,14,0.317,0.282,0.0
10.83,5.57,2,1,1,8,21,2,66,0.675,0.698,0.0
16.59,18.31,2,1,1,8,115,4,61,0.544,0.504,0.0
12.21,6.54,1,1,0,3,179,4,22,0.584,0.402,0.0
0.93,11.33,2,1,0,0,275,4,2,0.376,0.153,0.0
1.18,6.66,1,1,1,0,143,5,19,0.384,0.294,0.0
0.79,6.78,1,1,1,2,16,0,37,0.38,0.396,0.0
0.2,14.02,1,1,0,3,50,2,20,0.45,0.376,0.0
0.21,4.03,1,1,0,3,19,4,68,0.54,0.327,0.0
1.35,34.94,1,1,1,5,26,3,68,0.379,0.452,0.0
59.33,4.6,3,1,0,4,53,0,73,0.384,0.342,0.0
0.53,6.75,3,0,0,1,174,4,68,0.246,0.32,0.0
1.38,3.85,3,1,0,2,137,3,34,0.455,0.326,0.0
5.37,5.65,3,0,0,5,103,0,52,0.228,0.365,0.0
0.89,36.32,1,0,1,0,504,0,40,0.268,0.142,0.467
0.08,5.03,1,1,0,3,17,4,16,0.346,0.278,0.0
1.96,5.23,1,1,0,5,66,1,50,0.592,0.578,0.0
0.91,5.19,3,1,1,6,10,4,29,0.402,0.586,0.0
13.51,5.23,3,0,1,0,248,2,44,0.374,0.15,0.0
15.8,3.25,3,1,1,4,102,5,67,0.569,0.595,0.0
4.6,6.5,2,1,1,10,150,0,60,0.367,0.532,0.0
10.55,6.66,1,1,0,0,17,3,36,0.303,0.351,0.0
61.74,4.35,1,1,0,4,474,1,15,0.228,0.298,0.0
9.47,4.4,3,1,0,3,20,3,25,0.56,0.396,0.0
1.9,5.24,1,1,0,0,239,3,32,0.194,0.188,0.0
7.8,6.55,2,1,0,10,107,3,7,0.456,0.484,0.0
1.46,16.95,2,1,0,2,281,1,29,0.199,0.196,0.0
4.46,34.31,1,1,1,4,31,3,68,0.589,0.385,0.0
0.15,16.67,2,1,1,1,180,3,30,0.421,0.327,0.0
2.99,15.61,2,1,0,3,13,3,74,0.369,0.315,0.0
3.61,5.66,2,1,0,3,182,3,50,0.171,0.35,0.0
1.49,3.89,1,1,0,1,472,2,29,0.233,0.26,0.366
4.07,16.96,1,1,1,3,28,0,20,0.591,0.396,0.0
4.98,6.62,1,1,0,2,12,1,11,0.359,0.353,0.0
0.56,4.79,1,1,1,5,169,4,28,0.322,0.358,0.0
0.18,3.26,1,1,1,23,5,3,15,0.723,0.736,0.0
3.88,4.6,2,1,1,9,91,3,12,0.457,0.39,0.0
16.45,12.32,3,1,0,9,17,4,49,0.609,0.614,0.0
2.21,19.15,1,1,1,2,226,0,2,0.304,0.296,0.0
0.73,4.0,1,1,1,10,72,3,29,0.43,0.566,0.0
0.82,5.13,1,1,0,2,26,3,22,0.249,0.355,0.407
0.6,15.53,3,1,0,3,71,0,30,0.268,0.371,0.419
0.34,15.42,1,1,1,3,135,5,73,0.509,0.475,0.0
13.94,4.06,3,1,0,10,161,5,66,0.485,0.495,0.0
3.35,6.59,1,1,0,8,28,1,50,0.648,0.633,0.0
2.08,15.82,3,0,1,0,434,2,41,0.177,0.209,0.0
12.27,6.64,3,0,0,4,125,4,41,0.179,0.178,0.0
0.33,10.29,1,1,1,3,8,2,33,0.638,0.7,0.0
0.68,11.5,2,1,1,10,101,4,72,0.597,0.361,0.782
5.0,4.72,3,1,1,6,75,1,18,0.587,0.533,0.0
9.77,17.94,1,1,1,7,61,2,36,0.493,0.538,0.0
1.6,36.01,2,0,0,2,417,4,21,0.368,0.125,0.0
5.0,5.29,1,1,1,11,27,3,14,0.777,0.767,0.0
42.19,3.35,3,0,1,5,76,5,9,0.582,0.559,0.0
0.47,5.6,3,1,1,3,161,0,44,0.12,0.288,0.0
14.46,16.95,3,1,0,1,134,0,1,0.385,0.352,0.0
3.11,5.74,3,1,0,1,124,5,46,0.288,0.103,0.0
0.51,4.58,1,1,0,4,166,3,37,0.46,0.421,0.0
62.25,4.36,1,1,0,5,144,0,73,0.538,0.542,0.0
14.89,6.94,2,1,1,4,11,2,28,0.648,0.649,0.0
16.46,5.72,1,1,0,5,51,4,20,0.387,0.575,0.0
9.27,5.58,2,1,0,4,162,4,74,0.478,0.356,0.0
2.39,10.57,2,0,0,3,77,3,24,0.472,0.477,0.0
6.94,4.04,2,1,0,2,201,3,4,0.179,0.193,0.0
2.72,3.87,1,1,1,5,17,3,40,0.722,0.601,0.0
1.48,5.93,1,0,0,4,597,1,35,0.188,0.293,0.0
0.81,10.2,2,1,0,2,52,1,24,0.244,0.138,0.0
0.78,4.32,1,1,0,2,486,4,60,0.141,0.141,0.0
0.54,16.31,3,1,0,7,17,3,61,0.635,0.741,0.0
15.57,12.47,3,1,0,3,96,0,12,0.304,0.369,0.0
0.04,5.99,1,0,1,19,9,5,20,0.628,0.796,0.0
1.04,48.27,2,1,1,1,515,4,9,0.35,0.179,0.0
1.84,17.0,1,1,0,1,232,0,12,0.222,0.232,0.39
1.3,4.49,2,1,0,4,175,4,17,0.48,0.348,0.0
0.52,6.59,1,1,0,0,116,0,6,0.354,0.334,0.0
5.0,3.85,1,1,0,8,88,5,58,0.405,0.511,0.0
0.11,34.69,3,1,0,0,229,4,34,0.118,0.292,0.0
0.39,6.33,3,1,1,1,332,4,62,0.286,0.137,0.0
0.85,10.03,1,1,0,2,256,1,14,0.399,0.128,0.0
0.57,6.39,1,1,1,5,115,1,54,0.375,0.341,0.0
0.03,3.71,1,1,0,5,24,3,32,0.371,0.287,0.0
0.42,3.2,2,1,1,8,14,5,6,0.604,0.694,0.0
1.79,16.75,1,1,0,5,422,4,18,0.226,0.205,0.0
0.92,3.02,3,1,1,3,129,5,64,0.278,0.239,0.0
2.79,25.24,1,1,0,5,28,1,31,0.6,0.638,0.494
1.02,4.94,1,1,1,0,62,2,38,0.19,0.224,0.0
1.47,5.5,1,1,0,0,173,4,30,0.305,0.354,0.0
15.76,4.91,3,1,1,8,35,0,41,0.595,0.498,0.0
8.91,5.17,2,1,0,4,441,3,42,0.334,0.164,0.0
0.58,12.6,2,1,0,2,45,1,9,0.31,0.41,0.0
3.48,41.55,1,1,0,3,50,5,18,0.318,0.435,0.0
18.0,6.04,3,1,0,8,44,3,70,0.43,0.468,0.0
1.05,3.37,1,1,0,4,223,0,34,0.271,0.234,0.386
2.14,11.78,1,1,0,2,147,3,35,0.139,0.396,0.0
